mouse mice
movie movies
Mr Messrs
mucosa mucosae
mucro mucrones
mulatto mulattoes
muliebrity muliebritys
mulligatawny mulligatawnys
mulloway mulloways
multi-storey multi-storeys
multi-way multi-ways
murex murices
murrey murreys
muscology muscologys
Muscovy Muscovys
musicology musicologys
musketry musketrys
Mussulman Mussulmen
mycelium mycelia
mycology mycologys
mycorrhiza mycorrhizae
mycotrophy mycotrophys
myeloma myelomata
myocardium myocardia
myology myologys
mythography mythographys
mythus mythi
myxoma myxomata
Naffy Naffys
naiad naiaddes
navety navets
naos naoi
napery naperys
narcissus narcissi
narcolepsy narcolepsys
narthex narthexs
naturopathy naturopathys
nauplius nauplii
nautilus nautili
nay nays
nebula nebulae
necrolatry necrolatrys
necromancy necromancys
needlewoman needlewomen
Negro Negroes
nemesis nemeses
neoteny neotenys
Nepalese Nepalese
nephology nephologys
neurology neurologys
neuroma neuromata
neuropathology neuropathologys
neurophysiology neurophysiologys
neurosis neuroses
neurosurgery neurosurgerys
newsboy newsboys
newsman newsmen
newspaperman newspapermen
nexus nexus
nicker nicker
nidus nidi
niello nielli
nimbostratus nimbostrati
nimbus nimbi
Nipponese Nipponese
nitty-gritty nitty-grittys
nix nixs
no noes
nobleman noblemen
noblewoman noblewomen
nodus nodi
non-availability non-availabilitys
non-belligerency non-belligerencys
nonconformity nonconformitys
non-delivery non-deliverys
nooky nookys
noonday noondays
Norroy Norroys
Northman Northmen
nosegay nosegays
nosography nosographys
nosology nosologys
nova novae
noyau noyaux
nucleolus nucleoli
nucleus nuclei
nudity nuditys
numen numina
numismatology numismatologys
nun-buoy nun-buoys
nurseryman nurserymen
nympholepsy nympholepsys
oarsman oarswomen
oarsman oarsmen
oarsman oarswoman
